,tmean,site_no,Date,00010_Mean,00060_Mean,Y_pred,Y_test_original
3958,0.5479907092136783,13310850,2022-07-18,0.7912087912087911,0.07018312450714098,10.158686,10.0
3959,0.5929429646667335,13310850,2022-07-19,0.6813186813186811,0.0666783492508543,8.718686,9.0
3960,0.7143872783142097,13310850,2022-07-20,0.747252747252747,0.06282309646893892,9.028327,9.6
3961,0.7196453438380105,13310850,2022-07-21,0.7362637362637361,0.05923070183124507,9.798731,9.5
3962,0.671844281094376,13310850,2022-07-22,0.747252747252747,0.05555068781214405,9.827391,9.6
3963,0.6151647712980302,13310850,2022-07-23,0.703296703296703,0.05292210636992903,9.495734,9.2
3964,0.6282108372229903,13310850,2022-07-24,0.703296703296703,0.050644002453342676,9.1270485,9.2
3965,0.6923809304596727,13310850,2022-07-25,0.747252747252747,0.04845351791816349,9.196854,9.6
3966,0.7548658664303552,13310850,2022-07-26,0.7912087912087911,0.04564969771313415,9.590345,10.0
3967,0.7796477359976456,13310850,2022-07-27,0.8241758241758241,0.043196355033733466,9.99262,10.3
3968,0.8309916200428451,13310850,2022-07-28,0.8681318681318679,0.04109348987996145,10.164006,10.7
3969,0.8221218044939719,13310850,2022-07-29,0.857142857142857,0.03934110225181811,10.513418,10.6
3970,0.8019730795726008,13310850,2022-07-30,0.846153846153846,0.03662490142819591,10.490334,10.5
3971,0.8490802105100477,13310850,2022-07-31,0.8351648351648351,0.03496013318145974,10.401543,10.4
3972,0.8356851030108329,13310850,2022-08-01,0.846153846153846,0.03373346184175939,10.765832,10.5
3973,0.6795675863191486,13310850,2022-08-02,0.8791208791208791,0.03285726802768772,10.711665,10.8
3974,0.6994448709960097,13310850,2022-08-03,0.8241758241758241,0.030929641636730048,9.695501,10.3
3975,0.7517239168284731,13310850,2022-08-04,0.846153846153846,0.029089634627179537,9.873346,10.5
3976,0.6697755151363695,13310850,2022-08-05,0.813186813186813,0.027074388854814686,10.226617,10.2
3977,0.5646312210536354,13310850,2022-08-06,0.8351648351648351,0.028213440813107855,9.681136,10.4
3978,0.5878141661885087,13310850,2022-08-07,0.6923076923076921,0.025497239989485675,8.974575,9.1
3979,0.7320276882202168,13310850,2022-08-08,0.7142857142857142,0.02383247174274949,9.077743,9.3
3980,0.7914137910058086,13310850,2022-08-09,0.758241758241758,0.023394374835713657,9.930688,9.7
3981,0.6792788419645632,13310850,2022-08-10,0.7912087912087911,0.0254096206080785,10.313967,10.0
3982,0.7556114639523738,13310850,2022-08-11,0.802197802197802,0.029440112152808205,9.576517,10.1
3983,0.785267913658656,13310850,2022-08-12,0.813186813186813,0.033645842460352224,10.003804,10.2
3984,0.7293124637271327,13310850,2022-08-13,0.857142857142857,0.027600105143257687,10.213263,10.6
3985,0.6744172912861269,13310850,2022-08-14,0.802197802197802,0.02278103916586349,9.903563,10.1
3986,0.6934282606944332,13310850,2022-08-15,0.7692307692307692,0.02041531586786997,9.591056,9.8
3987,0.7448108220973074,13310850,2022-08-16,0.7802197802197801,0.01857530885831946,9.734873,9.9
3988,0.8160966037909565,13310850,2022-08-17,0.802197802197802,0.01699815999299045,10.080712,10.1
3989,0.8039210866816717,13310850,2022-08-18,0.8241758241758241,0.015771488653290106,10.549999,10.3
3990,0.7409362633315631,13310850,2022-08-19,0.8791208791208791,0.015245772364847105,10.483464,10.8
3991,0.7262653784626717,13310850,2022-08-20,0.846153846153846,0.024445807412599666,10.078937,10.5
3992,0.7434833790117996,13310850,2022-08-21,0.857142857142857,0.021379129063348806,9.954333,10.6
3993,0.7148354999778047,13310850,2022-08-22,0.8351648351648351,0.017173398755804783,10.095971,10.4
3994,0.6955099328057978,13310850,2022-08-23,0.8241758241758241,0.015771488653290106,9.937878,10.3
3995,0.7470434222186417,13310850,2022-08-24,0.813186813186813,0.014281959169368263,9.81056,10.2
3996,0.6914801713805638,13310850,2022-08-25,0.802197802197802,0.013230526592482254,10.133421,10.1
3997,0.6516222294927798,13310850,2022-08-26,0.7802197802197801,0.012091474634189081,9.783855,9.9
3998,0.5313717350309173,13310850,2022-08-27,0.7252747252747251,0.011040042057303072,9.512791,9.4
3999,0.4882985990658248,13310850,2022-08-28,0.6263736263736264,0.010601945150267238,8.767668,8.500000000000002
4000,0.6189747581945853,13310850,2022-08-29,0.6593406593406592,0.009988609480417066,8.456351,8.8
4001,0.7328940034887717,13310850,2022-08-30,0.7362637362637361,0.009024796284938227,9.153943,9.5
4002,0.8011929560352297,13310850,2022-08-31,0.758241758241758,0.008236221852273722,9.86389,9.7
4276,0.3768316873192522,13310850,2023-06-01,0.26373626373626374,0.6416367300446859,10.313451,5.2
4277,0.3377064368001289,13310850,2023-06-02,0.23076923076923078,0.6118461403662491,4.7953386,4.9
4278,0.424318152299186,13310850,2023-06-03,0.2967032967032967,0.5741698063611672,4.7536364,5.5
4279,0.41439677296843175,13310850,2023-06-04,0.3186813186813186,0.6994655217734164,5.377433,5.7
4280,0.41147895474954665,13310850,2023-06-05,0.3406593406593406,0.6162271094366074,4.8972626,5.9
4281,0.4956944003735386,13310850,2023-06-06,0.4175824175824175,0.5312363094716551,5.1957617,6.6
4282,0.5456805899673975,13310850,2023-06-07,0.4395604395604395,0.4734075177429248,6.027142,6.8
4283,0.43440764044278796,13310850,2023-06-08,0.4175824175824175,0.49093139402435826,6.6516123,6.6
4284,0.40259627414971466,13310850,2023-06-09,0.42857142857142855,0.40681678787347764,6.045259,6.7
4285,0.42531805036523596,13310850,2023-06-10,0.4395604395604395,0.34548322088846056,6.2861094,6.8
